,Unit Id,Grand total enrolled,Black total enrolled,Hispanic total enrolled,Total women enrolled,Year
0,100760,950,194,3,617,2000
1,100812,1076,111,3,745,2000
2,100830,2624,869,21,1662,2000
3,100858,16243,1154,140,7898,2000
4,100919,531,263,1,286,2000
5,100937,1332,124,7,779,2000
6,100973,93,37,3,61,2000
7,101268,167,66,0,161,2000
8,101286,2243,651,27,1231,2000
9,101295,2552,123,5,1561,2000
10,101301,878,530,2,544,2000
11,101347,600,207,2,394,2000
12,101365,400,148,0,128,2000
13,101435,591,39,1,373,2000
14,101453,49,5,1,7,2000
15,101569,1038,1020,1,719,2000
16,101587,1450,568,6,790,2000
17,101602,598,91,2,338,2000
18,101648,175,28,16,19,2000
19,101675,1433,1433,0,786,2000
20,101693,1499,261,17,995,2000
21,101709,2285,319,16,1555,2000
22,101736,2084,258,10,1210,2000
23,102067,2779,815,19,1480,2000
24,102076,990,33,4,557,2000
25,102094,5849,847,71,3553,2000
26,102100,3785,713,1130,2195,2000
27,102216,36,36,0,32,2000
28,102234,1010,86,37,601,2000
29,436845,80,21,4,31,2000
30,436854,23,12,2,22,2000
31,437042,169,55,7,17,2000
32,437051,127,67,2,16,2000
33,437079,174,9,16,120,2000
34,437088,18,2,0,18,2000
35,437103,1412,259,26,620,2000
36,437112,18,7,1,17,2000
37,437149,90,18,5,17,2000
38,437167,120,89,0,112,2000
39,437431,48,0,0,18,2000
40,437510,180,0,0,52,2000
41,437529,86,19,7,26,2000
42,437556,112,2,2,4,2000
43,437574,16,14,0,16,2000
44,437583,30,9,1,30,2000
45,437592,31,1,4,5,2000
46,437653,139,1,46,139,2000
47,437662,370,95,126,200,2000
48,437671,5,2,1,5,2000
49,438063,392,8,358,271,2000
50,438133,341,0,341,293,2000
51,438151,299,6,19,129,2000
52,438188,840,478,257,577,2000
53,438197,225,51,0,216,2000
54,438203,730,0,730,505,2000
55,438212,189,1,0,147,2000
56,438221,161,0,0,119,2000
57,438258,200,36,44,196,2000
58,438267,64,23,3,49,2000
59,438638,203,165,2,184,2000
60,438647,565,190,6,534,2000
61,438656,345,169,106,287,2000
62,438744,1094,320,30,314,2000
63,438814,102,35,20,86,2000
64,438869,515,252,11,355,2000
65,438878,59,13,6,56,2000
66,438896,121,15,15,81,2000
67,434122,11,0,1,8,2000
68,434140,159,8,72,133,2000
69,434274,29,7,3,27,2000
70,434283,21,2,0,19,2000
71,434292,15,8,0,13,2000
72,434308,146,5,0,122,2000
73,434317,177,64,43,171,2000
74,434326,24,1,1,23,2000
75,434344,89,4,28,77,2000
76,434353,22,2,0,11,2000
77,434362,34,2,0,0,2000
78,434520,266,13,12,208,2000
79,434539,180,60,98,114,2000
80,434548,367,17,1,53,2000
81,434557,202,18,39,24,2000
82,434566,141,2,1,7,2000
83,434575,149,19,5,14,2000
84,434584,42,0,0,9,2000
85,434593,17,0,0,14,2000
86,434645,448,43,41,340,2000
87,434672,6084,1521,124,3431,2000
88,434937,48,0,0,0,2000
89,434973,348,90,49,211,2000
90,434982,877,58,27,464,2000
91,435055,70,41,4,53,2000
92,435116,139,41,0,56,2000
93,436012,188,147,31,182,2000
94,436030,89,4,28,77,2000
95,436058,71,11,1,60,2000
96,436067,36,0,2,36,2000
97,436076,118,21,27,86,2000
98,436100,99,0,2,87,2000
99,436182,622,15,15,329,2000
100,436517,34,3,0,28,2000
101,436535,29,5,3,6,2000
102,436562,71,11,1,60,2000
103,436571,245,26,58,128,2000
104,436599,7,0,0,2,2000
105,436605,58,32,9,56,2000
106,436614,32,1,3,14,2000
107,436623,95,94,0,89,2000
108,436632,12,2,0,12,2000
109,431123,278,0,278,2,2000
110,431141,1003,86,352,420,2000
111,431169,141,21,2,112,2000
112,431178,291,0,37,221,2000
113,431196,3228,29,512,1281,2000
114,431202,37,0,1,36,2000
115,431248,1348,10,16,748,2000
116,431266,26,13,0,0,2000
117,431275,28,0,2,25,2000
118,431770,18,4,1,18,2000
119,431804,5,0,0,4,2000
120,431831,71,1,68,67,2000
121,431859,55,4,0,23,2000
122,431877,31,9,1,29,2000
123,431886,589,26,337,528,2000
124,431929,238,0,238,167,2000
125,431956,64,10,54,41,2000
126,431965,49,11,0,47,2000
127,431974,175,17,0,59,2000
128,101028,782,279,36,510,2000
129,434371,50,1,0,44,2000
130,436191,400,28,1,62,2000
131,429146,72,7,0,11,2000
132,421586,104,0,104,64,2000
133,421601,21,0,0,21,2000
134,421610,28,0,0,27,2000
135,421647,120,89,0,112,2000
136,421665,10,0,0,10,2000
137,421708,141,13,80,136,2000
138,430342,149,19,106,46,2000
139,421717,25,1,2,11,2000
140,421744,5,1,0,3,2000
141,421771,53,53,0,48,2000
142,421805,61,0,3,60,2000
143,421832,259,70,10,67,2000
144,421841,95,17,5,53,2000
145,421878,86,76,8,44,2000
146,421887,1100,0,1100,850,2000
147,421896,112,0,112,96,2000
148,421902,34,0,34,0,2000
149,421920,45,2,1,36,2000
150,421939,19,0,5,13,2000
151,433165,1,0,0,1,2000
152,433174,73,12,0,64,2000
153,433192,20,2,2,18,2000
154,433299,22,8,0,20,2000
155,433536,144,60,2,84,2000
156,433563,228,9,0,40,2000
157,428143,86,43,8,82,2000
158,428161,59,58,0,52,2000
159,428170,458,132,67,241,2000
160,428259,72,4,1,51,2000
161,428286,687,13,61,260,2000
162,428295,8,3,1,1,2000
163,428329,113,1,0,99,2000
164,429155,15,1,2,4,2000
165,429216,53,5,10,34,2000
166,429289,120,89,0,112,2000
167,429599,417,38,59,51,2000
168,429997,48,46,0,42,2000
169,430050,574,234,16,439,2000
170,430087,37,3,1,12,2000
171,430096,211,34,11,146,2000
172,430102,7,2,0,4,2000
173,430148,253,23,16,52,2000
174,422020,123,10,26,5,2000
175,422039,6,1,4,6,2000
176,422118,183,40,19,123,2000
177,422181,350,24,115,17,2000
178,422695,180,9,45,130,2000
179,423120,96,0,96,90,2000
180,423139,489,0,0,294,2000
181,423245,25,0,0,0,2000
182,423397,124,0,124,1,2000
183,423412,45,13,23,11,2000
184,423458,9,0,0,2,2000
185,423476,86,37,11,25,2000
186,423528,27,6,8,27,2000
187,423537,27,5,4,23,2000
188,423546,16,4,7,13,2000
189,423582,60,9,7,55,2000
190,423634,64,4,3,61,2000
191,423643,106,3,7,69,2000
192,423652,71,0,3,41,2000
193,423661,68,2,28,17,2000
194,423670,169,16,1,129,2000
195,423980,681,55,194,317,2000
196,424424,245,26,58,128,2000
197,425296,10,2,0,6,2000
198,425393,84,53,14,64,2000
199,425782,340,28,72,124,2000
200,425986,31,7,4,15,2000
201,426271,120,89,0,112,2000
202,427308,135,0,0,103,2000
203,427335,120,89,0,112,2000
204,427663,387,35,147,50,2000
205,427876,75,40,31,53,2000
206,427894,77,50,19,40,2000
207,427919,118,99,3,111,2000
208,427937,32,6,0,31,2000
209,427973,163,83,15,13,2000
210,427982,225,169,3,157,2000
211,428000,9,0,5,4,2000
212,428019,236,28,7,101,2000
213,428055,85,0,85,70,2000
214,428073,89,4,28,77,2000
215,428091,78,2,27,72,2000
216,418445,19,0,0,19,2000
217,418454,237,7,1,86,2000
218,418481,26,0,0,26,2000
219,418506,38,0,0,37,2000
220,418515,49,1,0,45,2000
221,418524,28,0,0,25,2000
222,418533,138,16,14,111,2000
223,418542,85,1,6,75,2000
224,418588,25,0,0,25,2000
225,418603,13,0,0,13,2000
226,418612,26,0,0,22,2000
227,418658,31,13,2,1,2000
228,418676,1150,0,1150,750,2000
229,418700,275,0,275,245,2000
230,418719,43,0,43,38,2000
231,418728,484,0,484,364,2000
232,418737,545,0,545,357,2000
233,418746,85,0,85,60,2000
234,418755,165,0,165,138,2000
235,418764,36,0,36,31,2000
236,418773,171,0,171,106,2000
237,418782,228,0,228,2,2000
238,418791,193,0,193,1,2000
239,418834,24,22,0,24,2000
240,436641,17,2,0,17,2000
241,436650,104,16,1,86,2000
242,436702,157,2,126,112,2000
243,436748,13,1,0,13,2000
244,436784,404,0,404,322,2000
245,436809,34,19,10,32,2000
246,436818,1084,66,95,572,2000
247,436827,344,7,14,156,2000
248,431105,34,7,2,33,2000
249,431284,32,3,3,27,2000
250,431309,396,0,396,236,2000
251,431318,100,99,0,94,2000
252,431512,21,1,0,20,2000
253,431558,120,14,8,73,2000
254,431600,41,5,0,37,2000
255,431637,12,8,2,12,2000
256,431664,57,20,0,48,2000
257,431691,50,6,2,32,2000
258,431716,177,1,0,116,2000
259,431983,109,0,0,0,2000
260,432065,13,1,1,12,2000
261,432074,44,1,0,27,2000
262,432108,249,0,0,194,2000
263,432117,10,4,0,10,2000
264,432135,12,0,0,12,2000
265,432171,1680,80,242,358,2000
266,432199,1196,303,206,229,2000
267,432223,901,53,37,503,2000
268,420486,34,3,8,5,2000
269,420495,255,67,2,236,2000
270,420501,161,40,4,153,2000
271,420538,336,5,4,228,2000
272,420556,240,2,17,157,2000
273,420574,439,12,51,192,2000
274,420583,66,7,9,46,2000
275,420608,135,0,135,131,2000
276,432241,834,21,12,381,2000
277,432269,140,0,140,32,2000
278,432296,422,153,77,95,2000
279,432302,629,156,127,182,2000
280,432311,606,163,147,117,2000
281,432366,15,0,0,14,2000
282,432384,268,43,85,166,2000
283,432436,116,67,7,111,2000
284,432481,123,47,26,84,2000
285,432524,136,15,4,59,2000
286,432232,2391,267,159,1344,2000
287,420468,48,8,2,48,2000
288,420723,34,1,1,22,2000
289,420796,49,45,0,38,2000
290,420857,448,24,104,67,2000
291,420945,99,54,42,85,2000
292,421009,803,275,57,501,2000
293,421018,1273,278,21,865,2000
294,421513,275,87,8,255,2000
295,421540,25,1,0,20,2000
296,421559,35,0,1,27,2000
297,430351,276,9,9,34,2000
298,430360,438,25,1,37,2000
299,430379,496,117,3,86,2000
300,430388,395,51,11,45,2000
301,430403,55,9,1,53,2000
302,430421,288,164,3,266,2000
303,430476,52,2,4,51,2000
304,430485,109,1,2,55,2000
305,430500,12,1,0,1,2000
306,430564,11,0,3,7,2000
307,432533,1071,97,331,354,2000
308,432542,835,99,106,432,2000
309,433004,90,11,28,67,2000
310,433013,64,1,42,62,2000
311,433022,232,41,165,185,2000
312,433059,1,0,0,1,2000
313,433068,430,77,17,173,2000
314,433086,82,7,1,67,2000
315,433110,75,0,0,55,2000
316,433138,160,4,0,150,2000
317,433660,1551,68,113,979,2000
318,433688,867,0,867,166,2000
319,433970,11,0,0,11,2000
320,434016,56,0,0,40,2000
321,434025,17,1,3,7,2000
322,434034,423,71,35,130,2000
323,434052,493,92,87,71,2000
324,428125,79,36,20,58,2000
325,428347,42,0,1,38,2000
326,430810,14,0,0,12,2000
327,430838,20,20,0,19,2000
328,430847,55,4,3,52,2000
329,430883,16,1,0,16,2000
330,430908,14,0,0,13,2000
331,430917,268,166,14,94,2000
332,430935,28,0,28,8,2000
333,430953,375,20,105,73,2000
334,430962,45,15,0,43,2000
335,430971,87,78,0,86,2000
336,430980,111,35,16,77,2000
337,428392,123,0,6,93,2000
338,428444,959,24,129,330,2000
339,429003,187,0,183,142,2000
340,429012,404,10,6,28,2000
341,429021,69,17,9,55,2000
342,429100,132,36,30,128,2000
343,430157,158,2,7,3,2000
344,430166,179,0,3,1,2000
345,430175,85,39,11,81,2000
346,430184,150,122,0,104,2000
347,430218,45,17,6,35,2000
348,430227,22,2,0,22,2000
349,430245,108,9,92,87,2000
350,430254,162,2,2,146,2000
351,430263,362,24,84,26,2000
352,430999,22,6,5,22,2000
353,431017,54,18,4,37,2000
354,431035,82,4,34,75,2000
355,431071,89,4,2,70,2000
356,431080,24,0,3,22,2000
357,431099,25,0,0,24,2000
358,420440,150,0,0,94,2000
359,420459,76,1,2,36,2000
360,101073,430,377,0,287,2000
361,101107,374,75,2,247,2000
362,101116,144,111,0,115,2000
363,101143,866,172,23,542,2000
364,101161,1683,250,7,942,2000
365,101189,1715,605,11,987,2000
366,101231,162,23,0,156,2000
367,101240,2639,496,22,1441,2000
368,430582,176,0,170,113,2000
369,430616,175,62,17,101,2000
370,430643,1,0,0,0,2000
371,430713,197,98,10,176,2000
372,430722,17,0,2,17,2000
373,430759,36,7,1,34,2000
374,430768,172,34,20,67,2000
375,430777,1050,300,96,320,2000
376,430786,211,81,45,126,2000
377,430795,198,19,0,102,2000
378,101462,286,136,2,142,2000
379,101471,505,325,8,106,2000
380,101480,5189,1026,37,2903,2000
381,101499,794,305,11,366,2000
382,101505,2080,358,11,1172,2000
383,101514,2944,521,33,1681,2000
384,101523,470,241,1,186,2000
385,101541,266,29,0,264,2000
386,101879,4142,422,28,2444,2000
387,101897,873,4,5,542,2000
388,101912,1597,1285,12,909,2000
389,101949,826,316,1,513,2000
390,101958,61,7,0,61,2000
391,101994,406,183,3,288,2000
392,102030,2101,1462,5,1384,2000
393,102049,2678,146,20,1658,2000
394,439136,71,5,6,5,2000
395,439163,272,58,37,47,2000
396,439172,633,178,49,137,2000
397,439181,567,30,117,103,2000
398,439190,682,5,25,327,2000
399,439288,300,14,31,129,2000
400,439297,17,0,0,9,2000
401,439321,21,0,1,12,2000
402,439376,213,11,22,110,2000
403,436836,483,42,66,282,2000
404,437194,21,2,5,14,2000
405,437219,407,17,133,43,2000
406,437246,211,1,1,143,2000
407,437255,203,154,13,178,2000
408,437316,313,5,13,293,2000
409,437325,35,0,2,21,2000
410,437705,22,0,22,22,2000
411,437714,110,32,23,67,2000
412,437723,468,403,32,252,2000
413,437732,50,12,0,43,2000
414,437750,104,0,5,11,2000
415,437848,389,22,111,99,2000
416,437857,125,15,5,123,2000
417,437866,7,0,0,3,2000
418,437893,21,19,0,12,2000
419,437927,651,64,41,272,2000
420,437936,473,33,129,171,2000
421,437945,47,0,2,14,2000
422,438276,505,1,504,379,2000
423,438285,246,22,42,187,2000
424,438294,96,4,6,83,2000
425,438337,172,0,172,143,2000
426,438452,63,0,3,45,2000
427,438498,630,300,42,197,2000
428,438504,211,0,15,5,2000
429,438577,13,3,0,13,2000
430,438586,367,163,12,158,2000
431,438595,30,4,2,10,2000
432,438601,60,19,17,21,2000
433,438610,106,23,4,49,2000
434,438966,43,12,2,30,2000
435,438975,152,0,152,142,2000
436,439011,23,0,0,21,2000
437,439039,150,30,46,82,2000
438,439048,86,14,15,13,2000
439,439109,14,6,0,7,2000
440,439127,200,46,60,192,2000
441,434113,545,0,545,357,2000
442,434380,27,2,0,18,2000
443,434399,16,0,1,15,2000
444,434405,29,12,8,15,2000
445,434414,111,0,0,77,2000
446,434423,516,195,105,322,2000
447,434432,18,9,0,18,2000
448,434469,167,2,137,97,2000
449,434478,10,0,10,10,2000
450,434496,58,9,0,56,2000
451,434502,46,9,3,42,2000
452,434511,20,4,4,16,2000
453,100654,4038,3693,12,2119,2000
454,100663,7064,2128,72,4192,2000
455,100690,32,8,2,7,2000
456,100706,3181,492,65,1663,2000
457,100724,3607,3361,9,2063,2000
458,100751,13764,2033,120,7239,2000
459,434690,154,2,2,2,2000
460,434706,58,23,1,25,2000
461,434779,18,0,3,8,2000
462,434797,89,4,28,77,2000
463,434812,130,83,2,83,2000
464,434821,140,9,100,133,2000
465,434830,85,13,0,76,2000
466,434849,620,7,3,321,2000
467,434876,32,2,15,22,2000
468,434900,354,0,354,230,2000
469,436225,453,174,136,341,2000
470,436270,130,1,3,104,2000
471,436304,85,7,1,50,2000
472,436447,56,21,5,23,2000
473,436456,44,15,0,20,2000
474,436465,396,0,396,236,2000
475,436474,274,30,16,54,2000
476,436483,506,12,8,52,2000
