,Unit Id,Grand total,Black total,Hispanic total,Grand total women,Year,UNITID,HRTOTLT,DVHRBKT,DVHRHST,HRBKAAT,HRTOTLW,HRHISPT
10,100654.0,290.0,146.0,1.0,197.0,2002,,,,,,,
76,100706.0,287.0,9.0,4.0,189.0,2002,,,,,,,
143,100724.0,229.0,132.0,0.0,106.0,2002,,,,,,,
207,100751.0,907.0,44.0,8.0,591.0,2002,,,,,,,
276,100760.0,45.0,2.0,0.0,23.0,2002,,,,,,,
322,100812.0,66.0,6.0,0.0,35.0,2002,,,,,,,
377,100858.0,1126.0,46.0,15.0,802.0,2002,,,,,,,
451,100919.0,48.0,5.0,0.0,25.0,2002,,,,,,,
495,100973.0,7.0,2.0,0.0,6.0,2002,,,,,,,
531,101028.0,27.0,8.0,0.0,7.0,2002,,,,,,,
568,101107.0,26.0,6.0,0.0,10.0,2002,,,,,,,
602,101143.0,39.0,5.0,0.0,18.0,2002,,,,,,,
642,101161.0,57.0,7.0,0.0,27.0,2002,,,,,,,
690,101240.0,129.0,12.0,0.0,57.0,2002,,,,,,,
735,101286.0,139.0,10.0,1.0,73.0,2002,,,,,,,
778,101295.0,118.0,1.0,0.0,49.0,2002,,,,,,,
825,101301.0,50.0,15.0,0.0,22.0,2002,,,,,,,
864,101347.0,31.0,2.0,0.0,17.0,2002,,,,,,,
910,101453.0,5.0,1.0,0.0,5.0,2002,,,,,,,
944,101462.0,20.0,11.0,1.0,8.0,2002,,,,,,,
979,101471.0,49.0,14.0,0.0,36.0,2002,,,,,,,
1019,101499.0,41.0,9.0,0.0,22.0,2002,,,,,,,
1064,101505.0,108.0,16.0,0.0,40.0,2002,,,,,,,
1116,101514.0,127.0,20.0,1.0,60.0,2002,,,,,,,
1167,101523.0,38.0,7.0,0.0,27.0,2002,,,,,,,
1211,101569.0,57.0,52.0,0.0,25.0,2002,,,,,,,
1257,101602.0,21.0,2.0,0.0,10.0,2002,,,,,,,
1291,101648.0,19.0,1.0,0.0,12.0,2002,,,,,,,
1328,101736.0,74.0,6.0,0.0,40.0,2002,,,,,,,
1371,101879.0,198.0,11.0,2.0,115.0,2002,,,,,,,
1426,101897.0,30.0,1.0,1.0,14.0,2002,,,,,,,
1463,101949.0,36.0,9.0,0.0,17.0,2002,,,,,,,
1505,101994.0,26.0,7.0,0.0,13.0,2002,,,,,,,
1549,102030.0,122.0,75.0,0.0,56.0,2002,,,,,,,
1598,102067.0,73.0,12.0,0.0,31.0,2002,,,,,,,
