,unitid,sabdtype,line,xstaff01,staff01,xstaff02,staff02,xstaff03,staff03,xstaff04,staff04,xstaff05,staff05,xstaff06,staff06,xstaff07,staff07,xstaff08,staff08,xstaff09,staff09,xstaff10,staff10,xstaff11,staff11,xstaff12,staff12,xstaff13,staff13,xstaff14,staff14,xstaff15,staff15,xstaff16,staff16,xstaff17,staff17,xstaff18,staff18,xstaff19,staff19,xstaff20,staff20,xstaff21,staff21,xstaff22,staff22,xstaff23,staff23,xstaff24,staff24,Year
10,100654,11,18,R,20,R,1,R,93,R,53,R,1,Z,0,R,29,R,9,R,1,Z,0,R,53,R,30,Z,0,Z,0,R,197,R,93,R,21,R,146,R,1,R,38,R,1,R,83,Z,0,R,290,2002
76,100706,11,18,R,13,Z,0,R,5,R,4,Z,0,Z,0,R,26,R,3,R,3,R,1,R,142,R,90,Z,0,Z,0,R,189,R,98,R,13,R,9,Z,0,R,29,R,4,R,232,Z,0,R,287,2002
143,100724,11,18,Z,0,Z,0,R,48,R,84,Z,0,R,1,R,15,R,5,Z,0,Z,0,R,42,R,33,R,1,Z,0,R,106,R,123,Z,0,R,132,R,1,R,20,Z,0,R,75,R,1,R,229,2002
207,100751,11,18,R,14,R,8,R,18,R,26,R,0,R,2,R,30,R,6,R,6,R,2,R,523,R,272,R,0,R,0,R,591,R,316,R,22,R,44,R,2,R,36,R,8,R,795,Z,0,R,907,2002
276,100760,11,18,Z,0,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,23,R,20,Z,0,Z,0,R,23,R,22,Z,0,R,2,Z,0,Z,0,Z,0,R,43,Z,0,R,45,2002
322,100812,11,18,R,0,R,0,R,2,R,4,R,0,R,0,R,0,R,0,R,0,R,0,R,33,R,27,R,0,R,0,R,35,R,31,Z,0,R,6,Z,0,Z,0,Z,0,R,60,Z,0,R,66,2002
377,100858,11,18,R,24,R,11,R,21,R,25,R,6,R,1,R,62,R,14,R,8,R,7,R,681,R,266,R,0,R,0,R,802,R,324,R,35,R,46,R,7,R,76,R,15,R,947,Z,0,R,1126,2002
451,100919,11,18,Z,0,Z,0,R,3,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,22,R,21,Z,0,Z,0,R,25,R,23,Z,0,R,5,Z,0,Z,0,Z,0,R,43,Z,0,R,48,2002
495,100973,11,18,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,Z,0,Z,0,Z,0,R,6,R,1,Z,0,R,2,Z,0,Z,0,Z,0,R,5,Z,0,R,7,2002
531,101028,11,18,R,0,R,0,R,3,R,5,R,0,R,0,R,0,R,1,R,0,R,0,R,4,R,14,R,0,R,0,R,7,R,20,Z,0,R,8,Z,0,R,1,Z,0,R,18,Z,0,R,27,2002
568,101107,11,18,Z,0,Z,0,R,2,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,R,0,R,8,R,11,Z,0,R,1,R,10,R,16,Z,0,R,6,Z,0,Z,0,Z,0,R,19,R,1,R,26,2002
602,101143,11,18,Z,0,Z,0,R,1,R,4,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,R,17,R,16,Z,0,Z,0,R,18,R,21,Z,0,R,5,R,1,Z,0,Z,0,R,33,Z,0,R,39,2002
