,Unnamed: 0,names
0,2,& Science
1,3,(Baltimore Co.)
2,4,(St. Louis)
3,5,(at Arlington
4,6,2012 - Page 16 of 69
5,7,41Universities of: Alabama (Birmingham)
6,8,80North Texas
7,9,Albany
8,10,Albany SUNY
9,11,Arizona
10,12,Arizona State
11,13,Arizona State University
12,14,Arkansas
13,15,Arkansas (Fayetteville and Little Rock)
14,16,Arkansas (Fayetteville)
15,17,Arkansas (Fayetteville and Little Rock)
16,18,Arkansas (Little Rock)
17,19,Arkansas at Little Rock
18,20,Arkansas at Little Rock
19,21,Arkansas at Little Rock
20,22,Auburn
21,23,Augusta
22,24,Augusta University
23,25,Austin
24,26,Binghamton
25,27,Binghamton University SUNY
26,28,Boise State
27,29,Boston
28,30,Boston University
29,31,Boston)
30,32,"Boston, and Lowell)"
31,33,Brandeis
32,34,Brigham Young
33,35,British Columbia
34,36,Brown
35,37,Brown University
36,38,Buffalo
37,39,Buffalo-SUNY
38,40,CRA Taulbee Report 2011 - April 4
39,41,Calgary
40,42,California
41,43,California (Berkeley
42,44,California (Berkeley)
43,45,California (Santa Cruz)
44,46,California (at Davis
45,47,Canadian (11): Concordia
46,48,Canadian (12): Concordia
47,49,Canadian (13 departments): Concordia
48,50,Canadian (14):
49,51,Canadian (14): Concordia
50,52,Canadian (8):
51,53,Canadian (8): McGill
52,54,Canadian departments par- ticipating in the survey include: Concordia
53,55,Canadian departments participat- ing in the survey include: Carleton
54,56,Canadian departments participating in the survey include: Carleton
55,57,Canadian departments participating in the survey include: Concordia
56,58,Canadian departments participating in the survey include: Dalhousie
57,59,Carnegie Mellon
58,60,Case Western Reserve
59,61,Central Florida
60,62,Charlotte)
61,63,Cincinnati
62,64,City University of New York
63,65,City University of New York Graduate Center
64,66,City University of New York Graduate Center
65,67,Clarkson
66,68,Clemson
67,69,Clemson University
68,70,"Clemson, College of William & Mary"
69,71,College of William & Mary
70,72,College of William and Mary
71,73,"College of William and Mary, Colorado School of Mines"
72,74,College of William & Mary
73,75,Colorado (Boulder and Colorado Springs)
74,76,Colorado (Boulder)
75,77,Colorado (at Boulder
76,78,Colorado (at Boulder and Denver)
77,79,Colorado School
78,80,Colorado School of Mines
79,81,Colorado School of Mines
80,82,Colorado Springs
81,83,Colorado State
82,84,Colorado State
83,85,Columbia
84,86,"Columbia, Cornell"
85,87,Computer Engineering depart- ments participating in the survey this year include: Boston University
86,88,Computer Engineering depart- ments participating in the survey this year include: Cornell
87,89,Computer Engineering departments participating in the survey this year include: Boston
88,90,Computer Engineering departments participating in the survey this year include: Boston University
89,91,Computer Engineering departments participating in the survey this year include: Georgia Institute of Technology
90,92,Computer Engineering departments participating in the survey this year include: Iowa State
91,93,Concordia
92,94,Connecticut
93,95,Connecticut
94,96,Cornell
95,97,Cruz)
96,98,Dalhousie
97,99,Dallas
98,100,Dallas)
99,101,Dartmouth
100,102,Davis
101,103,DePaul
102,104,Delaware
103,105,Denver
104,106,Drexel
105,107,"Drexel, Florida Institute of Technology"
106,108,Duke
107,109,El Paso
108,110,Emory
109,111,Florida
110,112,Florida Institute of Technology
111,113,Florida International
112,114,Florida State
113,115,George Mason
114,116,George Washington
115,117,Georgetown
116,118,George Mason
117,119,Georgia
118,120,Georgia
119,121,Georgia Institute of Technology
120,122,Georgia State
121,123,Georgia Tech
122,124,Graduate Center
123,125,Guelph
124,126,Harvard
125,127,Hawaii
126,128,Houston
127,129,Howard
128,130,Huntsville
129,131,"Huntsville, and Tuscaloosa)"
130,132,Idaho
131,133,Illinois
132,134,Illinois (Chicago and Urbana Champaign)
133,135,Illinois (Chicago and Urbana- Champaign)
134,136,Illinois (Chicago and Urbana-Champaign)
135,137,Illinois (Chicago)
136,138,Illinois (Urbana Champaign)
137,139,Illinois (Urbana- Champaign)
